title,description,servings,total_time_iso,ingredients,steps,tags
Griechischer Salat,"Tomaten-Gurken-Feta-Salat mit Oliven und Oregano. TM-Hinweis: Dressing 5 Sek./Stufe 4 mischen, Gemüse groß lassen.",4 Personen,PT15M,4 Tomaten|1 Gurke|1 rote Zwiebel|150 g Feta|Handvoll schwarze Oliven|2 EL Olivenöl|1 EL Rotweinessig|Oregano|Salz|Pfeffer,"Tomaten (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Gurke (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebel in Stücke/Ringe schneiden. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Mit Feta und Oliven mischen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Öl (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Essig (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Oregano (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Salz (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Pfeffer anmachen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","salat,mediterran"
Gabis mediterraner Nudelsalat,"Pasta-Salat mit getrockneten Tomaten, Oliven, Feta. TM-Hinweis: Dressing im Mixtopf rühren.",4 Personen,PT25M,400 g kurze Pasta|8 getrocknete Tomaten in Öl|150 g Feta|1 rote Paprika|Handvoll Oliven|Rucola (optional)|Dressing: 3 EL Olivenöl|1 EL Balsamico|1 TL Senf|Salz|Pfeffer,"Pasta kochen und abkühlen lassen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Gemüse schneiden (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Feta würfeln. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Dressing rühren (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|alles mischen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|ggf. Rucola unterheben. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","salat,mitbring"
Hot Dogs,"Schnelle Hot Dogs mit Würstchen, Brötchen, Gurken, Röstzwiebeln. TM-Hinweis: Relish/kleine Saucen im Mixtopf.",4 Personen,PT10M,8 Hot-Dog-Brötchen|8 Wiener/Hotdog-Würstchen|Senf|Ketchup|Mayonnaise|Gewürzgurken in Scheiben|Röstzwiebeln,"Würstchen heiß ziehen lassen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Brötchen aufschneiden (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Würstchen einlegen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Gurken (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Röstzwiebeln und Saucen servieren. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).","fingerfood,party"
Thai Rote Curry Suppe,"Würzige Suppe mit Kokosmilch, roter Currypaste, Gemüse und Hähnchen/Tofu. TM-Hinweis: Alles im Mixtopf 15–20 Min./100°C garen.",4 Personen,PT30M,1 Zwiebel|1 EL rote Currypaste|1 l Gemüse|oder Hühnerbrühe|400 ml Kokosmilch|300 g Hähnchenbrust oder Tofu|1 rote Paprika|1 Karotte|1 Zucchini|1 EL Öl|Salz|Pfeffer|Limettensaft,"Zwiebel in Öl anschwitzen (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Currypaste kurz mitrösten. (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Mit Brühe und Kokosmilch aufgießen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Hähnchen/Tofu und Gemüse in Stücke schneiden (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|in der Suppe 10–12 Minuten garen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Salz (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Pfeffer (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Limette abschmecken. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","suppe,asia"
Lahmacun,"Türkische Fladen mit würziger Hackbelag, frisch gerollt mit Salat. TM-Hinweis: Teig 2 Min./Knetstufe; Belag im Mixtopf zerkleinern.",4 Personen,PT1H20M,Teig: 500 g Mehl|300 ml Wasser|1 Päckchen Trockenhefe|1 TL Zucker|1 TL Salz|2 EL Öl|Belag: 400 g Hack (Rind/Lamm)|1 Zwiebel|1 rote Paprika|2 Tomaten|2 EL Tomatenmark|Petersilie|Salz|Pfeffer|Paprika,"Teig kneten und 45–60 Minuten gehen lassen. (im TM: 30 Sek./Stufe 4 mischen, dann 2 Min./Knetstufe).|Belag-Zutaten fein hacken/mixen und mit Hack mischen (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; 20–40 Sek./Stufe 6–8 pürieren (mit Messbecher)).|würzen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Teig dünn ausrollen (im TM: 30 Sek./Stufe 4 mischen, dann 2 Min./Knetstufe).|Belag dünn verstreichen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Bei 250°C 6–8 Minuten backen. Mit Salat/Rotkohl/Soße einrollen. (im TM: Hinweis: Backofen extern nutzen; TM für Saucen/Beilagen verwenden).","tuerkisch,streetfood"
Fisch mit Brokkoli aus dem Ofen,Einfaches Blechgericht: Fischfilets und Brokkoli mit Zitrone. TM-Hinweis: Beilage (Kartoffeln) im Varoma möglich.,4 Personen,PT25M,"4 Fischfilets (z. B. Kabeljau, Lachs)|1 großer Brokkoli|2 EL Olivenöl|1 Zitrone|Salz|Pfeffer|optional: kleine Kartoffeln als Beilage",Brokkoli in Röschen teilen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|auf Blech verteilen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Fischfilets auflegen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Öl (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Salz (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Pfeffer und Zitronensaft würzen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Bei 200°C ca. 15–20 Minuten garen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Zitronenspalten servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).,"leicht,ofen,fisch"
Salat mit Feta und Bacon,Körniger Salatmix mit knusprigem Speck und Feta. TM-Hinweis: Dressing 5 Sek./Stufe 4.,4 Personen,PT15M,200 g Blattsalat-Mix|150 g Bacon|150 g Feta|1 rote Zwiebel|Dressing: 3 EL Olivenöl|1 EL Balsamico|1 TL Senf|Salz|Pfeffer,"Bacon knusprig auslassen. (im TM: Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Salat waschen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebel in feine Ringe (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; 20–40 Sek./Stufe 6–8 pürieren (mit Messbecher)).|Feta würfeln. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Dressing rühren (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Salat (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Feta und Bacon mischen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","salat,schnell"
Shepherd’s Pie,Britischer Auflauf mit Hack und Erbsen unter Kartoffelpüree. TM-Hinweis: Püree im Mixtopf; Hackpfanne separat.,4 Personen,PT1H0M,600 g Hack (Lamm/Rind)|1 Zwiebel|2 Möhren|150 g Erbsen (TK)|2 EL Tomatenmark|200 ml Brühe|2 EL Öl|Püree: 1 kg Kartoffeln|200 ml Milch|40 g Butter|Salz|Muskat|Salz|Pfeffer|Thymian,"Kartoffeln für Püree garen und stampfen (mit Milch/Butter). (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Hack mit Zwiebel und Möhren anbraten (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Tomatenmark rösten (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|mit Brühe ablöschen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Erbsen zugeben. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Masse in Auflaufform geben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Püree daraufstreichen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Bei 200°C ca. 25 Minuten backen. (im TM: Hinweis: Backofen extern nutzen; TM für Saucen/Beilagen verwenden).","auflauf,britisch"
Feta-Nudeln,"Ofengericht: Feta mit Tomaten backen, mit Pasta vermengen. TM-Hinweis: Pasta kochen; Sauce im Ofen.",4 Personen,PT30M,400 g Pasta|200 g Feta|400 g Cherrytomaten|2 Knoblauchzehen|2 EL Olivenöl|Basilikum|Salz|Pfeffer|Chili,"Feta und Tomaten mit Knoblauch und Öl in eine Form geben (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|bei 200°C 20 Minuten backen. (im TM: Hinweis: Backofen extern nutzen; TM für Saucen/Beilagen verwenden).|Pasta kochen (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|mit der gebackenen Feta-Tomaten-Sauce mischen. (im TM: Hinweis: Backofen extern nutzen; TM für Saucen/Beilagen verwenden).|Mit Basilikum (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Salz (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Pfeffer abschmecken. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","viral,pasta,vegetarisch"
Bibimbap,"Koreanische Reis-Schüssel mit Gemüse, Ei und optional Rind. TM-Hinweis: Reis im Garkorb; Gochujang-Sauce 5 Sek./Stufe 5.",4 Personen,PT40M,300 g Reis|300 g Rindfleisch in Streifen (optional)|1 Möhre|1 Zucchini|200 g Spinat|200 g Pilze|4 Eier|2 EL Sojasoße|1 EL Sesamöl|1 EL Gochujang (Chilipaste)|1 TL Zucker|Sesam,"Reis garen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Gemüse in Streifen schneiden und getrennt kurz braten (Spinat nur zusammenfallen lassen). (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Fleisch scharf anbraten (optional). (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Sauce aus Sojasoße (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Sesamöl (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Gochujang (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Zucker rühren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Alles auf Reis anrichten (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Spiegelei obenauf (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Sauce und Sesam servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","koreanisch,bowl"
Kichererbsen-Curry,Veganes Curry mit Kichererbsen und Tomate-Kokos. TM-Hinweis: Alles im Mixtopf 15–20 Min./100°C garen.,4 Personen,PT30M,2 Dosen Kichererbsen (abgetropft)|1 Zwiebel|2 Knoblauchzehen|2 cm Ingwer|1 Dose Tomaten (400 g)|400 ml Kokosmilch|2 EL Currypulver oder Garam Masala|1 EL Öl|Salz|Pfeffer|Koriander,"Zwiebel (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Knoblauch (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Ingwer anschwitzen. (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Currypulver kurz mitrösten (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Tomaten und Kokosmilch zugeben. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Kichererbsen einrühren (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|10–15 Minuten köcheln (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|abschmecken. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Koriander servieren (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|dazu Reis. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","vegan,curry"
